,Identifier,Company Name,Country of Exchange,Exchange Name,TRBC Economic Sector Name,Total Assets,ROA ,Total Current Assets,Total Debt,Total Equity,"Property/Plant/Equipment, Total - Net",Cash from Operating Activities,Cash from Financing Activities,Cash from Investing Activities,Price To Book Value Per Share ,Depreciation,Total Current Liabilities,Retained Earnings ,Cash and Short Term Investments,Cash Dividend Paid,Company Market Cap,Shares Held By Strategic Investors,Free Cash Flow,Total Revenue,"Accounts Receivable - Trade, Net",Accounts Payable,Total Common Shares Outstanding,TRBC Economic Sector Name,TRBC Business Sector Name,Price close,EBIT
33,DC2.HN,Development Investment Construction Number 2 JSC,Vietnam,HANOI STOCK EXCHANGE,Real Estate,"260,485,600,460.00",2.90%,"225,152,683,550.00","144,718,466,070.00","74,341,146,820.00","16,811,204,430.00","-53,981,484,990.00","58,852,216,720.00","-1,272,219,480.00",1.15,,"185,738,378,640.00","9,195,285,720.00","30,758,318,210.00","1,262,908,000.00","92,529,318,800.00","2,536,150.00","5,702,112,620.00","322,559,949,840.00","125,206,879,520.00","36,689,108,750.00","6,251,980.00",Real Estate,Real Estate,"4,700.00","8,230,531,620.00"
34,LCS.HN,Licogi 166 JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"328,550,113,310.00",0.10%,"282,506,914,310.00","93,400,795,520.00","84,773,768,060.00","41,607,510,960.00","2,316,487,730.00","-6,702,220,690.00","957,245,670.00",0.49,"11,759,188,190.00","242,937,320,570.00","2,782,887,870.00","47,753,470.00",,"35,814,144,520.10","3,626,253.00","12,015,487,580.00","79,028,526,400.00","40,187,890,680.00","95,490,157,050.00","7,600,000.00",Industrials,Industrial & Commercial Services,"26,100.00","141,903,467,250.00"
35,ORS.HM,Tien Phong Securities Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Financials,"4,764,070,036,080.00",6.10%,"4,732,110,458,850.00","2,346,050,000,000.00","2,172,077,360,390.00","6,937,927,650.00","-3,223,367,907,720.00","2,346,927,282,000.00","-17,501,528,050.00",2.44,"5,728,244,380.00","591,992,675,680.00","154,080,070,550.00","2,275,380,427,040.00",,"5,220,000,000,000.00","13,404,100.00","203,048,322,160.00","1,346,028,798,480.00","3,586,027,910.00","151,596,500.00","200,000,000.00",Financials,Banking & Investment Services,"23,150.00","-1,117,936,660.00"
36,DTA.HM,De Tam JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Real Estate,"669,129,894,560.00",1.70%,"239,162,752,990.00","174,100,939,090.00","194,242,496,650.00","367,160,158,120.00","7,485,350,500.00","32,990,939,090.00","-36,450,790,800.00",2.22,,"329,639,811,250.00","13,051,011,770.00","91,525,745,110.00",,"418,085,110,800.00","6,180,641.00","11,212,181,150.00","108,838,675,060.00","28,997,859,600.00","3,354,432,040.00","18,059,830.00",Real Estate,Real Estate,"53,660.33","41,385,358,100.00"
37,NHA.HM,Ha Noi South Housing and Urban Development Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Real Estate,"506,185,670,850.00",0.60%,"100,089,146,600.00","131,501,976,300.00","284,458,110,710.00","393,156,670,410.00","-43,106,787,690.00","131,501,976,300.00","-87,945,446,260.00",7.43,"6,059,005,280.00","162,888,857,440.00","3,292,610,710.00","720,497,040.00",,"2,108,741,250,000.00","14,211,532.00","-92,136,357,590.00","122,477,632,410.00","57,200,157,410.00","60,054,973,070.00","28,116,550.00",Real Estate,Real Estate,"20,200.00","350,330,288,940.00"
38,AAA.HM,An Phat Bioplastics JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"10,009,526,635,290.00",3.50%,"5,354,610,509,760.00","3,359,178,943,960.00","4,794,491,090,080.00","2,875,595,877,300.00","443,620,282,770.00","739,244,815,410.00","-150,390,199,870.00",1.39,"315,934,993,090.00","3,282,339,419,560.00","706,493,529,920.00","2,424,326,740,180.00","148,545,935,500.00","6,593,976,819,200.00","165,681,608.00","-216,803,045,560.00","13,143,109,864,000.00","1,125,734,551,520.00","609,834,689,480.00","326,434,500.00",Basic Materials,Applied Resources,"16,300.00","147,402,340.00"
39,HBS.HN,Hoa Binh Securities JSC,Vietnam,HANOI STOCK EXCHANGE,Financials,"402,009,993,770.00",2.00%,"271,941,759,230.00",0,"397,508,946,660.00",0,"-42,048,759,240.00",,"51,545,000,000.00",1.37,,"4,501,047,110.00","58,337,744,040.00","198,042,160,470.00",,"537,899,674,000.00","22,854,370.00","8,856,352,630.00","20,665,275,830.00","142,704,110.00","218,380,000.00","32,999,980.00",Financials,Banking & Investment Services,"37,500.00","-23,428,558,600.00"
40,LDP.HN,Lam Dong Pharmaceutical JSC,Vietnam,HANOI STOCK EXCHANGE,Healthcare,"215,920,989,490.00",17.50%,"144,282,833,190.00","32,298,548,390.00","153,379,734,360.00","60,717,918,760.00","29,077,165,500.00","-16,996,989,050.00","33,915,505,460.00",4.8,"11,741,786,860.00","58,482,873,890.00","12,268,396,360.00","65,158,556,320.00",,"476,367,562,500.00","3,242,667.00","41,881,741,260.00","161,902,372,900.00","23,286,157,640.00","13,964,016,930.00","12,703,140.00",Healthcare,Pharmaceuticals & Medical Research,"21,721.61","-14,024,527,490.00"
41,DRH.HM,DRH Holdings JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Real Estate,"2,637,673,051,750.00",0.50%,"1,760,867,709,940.00","442,633,121,950.00","853,639,595,410.00","157,938,730.00","-35,538,794,920.00","31,578,893,520.00","80,683,280.00",2.01,"563,930,140.00","1,774,645,756,450.00","230,536,079,560.00","49,666,755,390.00",,"1,701,980,910,600.00","2,054,810.00","14,549,737,970.00","48,141,791,990.00","35,649,254,840.00","85,513,825,130.00","78,354,490.00",Real Estate,Real Estate,"19,900.00","42,079,604,560.00"
42,PSI.HN,Petrovienam Securities Inc,Vietnam,HANOI STOCK EXCHANGE,Financials,"1,273,705,613,490.00",0.60%,"1,129,554,668,960.00","484,020,000,000.00","625,250,840,140.00","10,149,787,060.00","-258,197,073,690.00","240,480,000,000.00","-2,110,573,000.00",1.87,"4,112,132,570.00","648,354,300,620.00","6,434,417,960.00","420,886,204,080.00",,"1,193,980,482,440.15","46,514,874.00","7,675,943,620.00","157,368,595,230.00","5,334,684,140.00","7,505,792,790.00","59,841,300.00",Financials,Banking & Investment Services,"15,500.00","6,534,256,280.00"
