,Identifier,Company Name,Country of Exchange,Exchange Name,TRBC Economic Sector Name,Total Assets,ROA ,Total Current Assets,Total Debt,Total Equity,"Property/Plant/Equipment, Total - Net",Cash from Operating Activities,Cash from Financing Activities,Cash from Investing Activities,Price To Book Value Per Share ,Depreciation,Total Current Liabilities,Retained Earnings ,Cash and Short Term Investments,Cash Dividend Paid,Company Market Cap,Shares Held By Strategic Investors,Free Cash Flow,Total Revenue,"Accounts Receivable - Trade, Net",Accounts Payable,Total Common Shares Outstanding,TRBC Economic Sector Name,TRBC Business Sector Name,Price close,EBIT
310,TCB.HM,Vietnam Technological And Commercial Joint Stock Bank,Vietnam,HOCHIMINH STOCK EXCHANGE,Financials,"568,728,950,000,000.00",3.70%,,"100,533,215,000,000.00","92,194,574,000,000.00","3,628,732,000,000.00","12,828,221,000,000.00","60,053,000,000.00","-879,943,000,000.00",2,,,"47,453,056,000,000.00",,0,"175,545,739,900,000.00","710,119,101.00","18,047,736,000,000.00",,,"3,121,881,000,000.00","3,510,914,800.00",Financials,Banking & Investment Services,"50,000.00","17,818,923,000,000.00"
311,GVR.HM,Viet Nam Rubber Group JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Consumer Cyclicals,"79,014,197,735,380.00",6.70%,"22,769,352,069,240.00","9,005,447,270,330.00","47,889,244,992,000.00","47,167,536,326,980.00","3,921,071,527,810.00","-3,211,968,604,080.00","-931,391,416,630.00",3.01,"2,303,518,160,160.00","10,866,850,865,300.00","4,631,590,901,140.00","15,582,924,010,940.00","109,942,261,060.00","147,800,000,000,000.00","3,872,568,419.00","6,567,212,043,320.00","26,189,593,001,150.00","1,109,627,382,440.00","852,576,277,070.00","4,000,000,000.00",Consumer Cyclicals,Automobiles & Auto Parts,"36,950.00","2,409,048,001,140.00"
312,ABR.HM,Viet Brand Invest JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Industrials,"312,514,908,360.00",6.50%,"236,539,139,010.00",0,"255,765,164,590.00","18,437,255,670.00","13,258,202,570.00",0,"-60,674,124,280.00",2,"9,863,027,470.00","52,752,149,490.00","55,765,164,590.00","193,949,740,820.00",,"500,000,000,000.00","520,700.00","28,318,451,080.00","91,154,043,170.00","39,972,226,270.00","38,251,096,590.00","20,000,000.00",Industrials,Industrial & Commercial Services,"25,000.00","22,679,188,370.00"
313,EVS.HN,Everest Securities JSC,Vietnam,HANOI STOCK EXCHANGE,Financials,"3,210,721,564,560.00",20.60%,"3,176,451,372,360.00","120,000,000,000.00","1,867,706,523,990.00","9,848,557,560.00","-1,550,405,656,590.00","1,647,190,000,000.00","-16,320,005,900.00",2.65,"1,917,658,240.00","1,292,800,836,970.00","585,702,523,990.00","1,319,702,368,340.00",,"4,377,516,999,999.99","11,999,900.00","405,186,290,310.00","1,113,080,057,510.00","-24,000,000.00","65,930,266,290.00","63,000,400.00",Financials,Banking & Investment Services,"42,500.00","276,463,815,820.00"
314,EVF.HM,EVN Finance JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Financials,"32,387,465,000,000.00",1.10%,,"15,124,504,000,000.00","3,984,169,000,000.00","37,349,000,000.00","-2,097,476,000,000.00","-1,952,000,000.00","-556,691,000,000.00",1.5,,,"934,765,000,000.00",,"1,952,000,000.00","5,850,386,457,599.99","460,251.00","317,792,000,000.00",,,"427,587,000,000.00","324,512,630.00",Financials,Banking & Investment Services,"18,028.17","708,452,000,000.00"
315,TDP.HM,Thuan Duc JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"2,739,085,587,740.00",3.80%,"1,785,084,762,070.00","1,724,818,994,310.00","720,342,641,600.00","516,384,962,670.00","10,535,546,970.00","671,566,869,640.00","-618,850,250,590.00",2.25,"54,271,661,460.00","1,700,641,252,230.00","104,531,452,150.00","287,766,968,950.00",,"1,580,536,177,500.00","32,336,497.00","5,364,880,700.00","2,440,109,488,320.00","257,615,447,730.00","202,424,137,990.00","60,210,900.00",Basic Materials,Applied Resources,"26,250.00","171,690,694,310.00"
316,ICT.HM,JSC for Telecoms and Informatics,Vietnam,HOCHIMINH STOCK EXCHANGE,Technology,"2,094,964,043,050.00",2.70%,"1,893,429,868,430.00","550,427,625,260.00","711,438,009,060.00","72,857,595,650.00","342,321,063,900.00","-179,951,097,410.00","755,834,400.00",0.87,"12,726,527,570.00","1,381,812,508,340.00","290,160,112,090.00","477,715,229,280.00","39,144,958,770.00","643,700,000,000.00","15,610,247.00","16,285,760,330.00","2,094,061,386,590.00","956,696,895,480.00","664,453,918,180.00","32,185,000.00",Technology,Technology Equipment,"18,796.30","87,034,739,750.00"
317,HMR.HN,Hoang Mai Stone JSC,Vietnam,HANOI STOCK EXCHANGE,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,Basic Materials,Mineral Resources,,
318,GMH.HM,Quang Tri Minh Hung JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,Basic Materials,Mineral Resources,,
319,BAF.HM,BAF Viet Nam Agriculture JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Consumer Non-Cyclicals,"5,457,246,010,440.00",6.00%,"4,310,728,812,240.00","163,080,042,400.00","1,447,167,807,980.00","607,756,216,070.00","207,332,934,320.00","648,395,901,440.00","-632,919,512,540.00",2.34,"32,470,795,540.00","3,851,377,414,740.00","387,323,307,980.00","348,067,914,630.00",,"3,205,800,000,000.00",,"-127,426,676,660.00","10,434,354,736,320.00","2,714,759,937,080.00","3,774,329,848,170.00","78,000,000.00",Consumer Non-Cyclicals,Food & Beverages,"20,391.94","179,267,643,510.00"
320,VTZ.HN,Viet Thanh Plastic Trading and Manufacturing JSC,Vietnam,HANOI STOCK EXCHANGE,Basic Materials,,,,,,,,,,,,,,,,"240,000,000,000.00",,,,,,,Basic Materials,Chemicals,"12,000.00",
321,KSF.HN,Ksfinance Group JSC,Vietnam,HANOI STOCK EXCHANGE,Real Estate,"10,278,663,278,900.00",3.90%,"6,873,926,495,740.00","2,056,198,438,020.00","3,817,346,812,120.00","1,860,745,047,140.00","3,154,370,178,670.00","-1,878,851,794,970.00","-979,055,405,950.00",6.27,"129,918,424,150.00","3,067,326,026,690.00","765,387,248,910.00","1,433,713,049,830.00",,"23,039,999,999,999.90",,"-3,301,223,980.00","1,241,489,752,560.00","174,896,187,530.00","204,560,214,150.00","300,000,000.00",Real Estate,Real Estate,"76,800.00","248,291,984,450.00"
322,KHG.HM,Khai Hoan Land Group JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Real Estate,"6,420,340,058,980.00",9.40%,"2,180,695,146,290.00","657,866,388,890.00","4,697,378,283,250.00","212,808,701,930.00","-2,489,452,826,750.00","2,821,039,205,000.00","70,330,150,880.00",4.84,"126,941,040.00","1,178,775,386,840.00","571,579,078,250.00","563,807,600,810.00",,"6,376,350,940,000.00","385,890,478.00","413,287,672,120.00","1,288,142,192,100.00","541,820,940,820.00","426,929,559,360.00","1,275,270,190.00",Real Estate,Real Estate,"14,388.49","98,883,492,130.00"
323,DXS.HM,Dat Xanh Real Estate Services JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Real Estate,"15,147,811,227,800.00",6.70%,"14,505,135,519,880.00","1,130,993,013,140.00","5,624,951,428,890.00","188,663,571,390.00","-887,032,770,710.00","1,491,534,676,030.00","-118,384,578,750.00",2.36,"44,928,795,590.00","7,213,629,916,080.00","941,845,416,670.00","1,788,146,572,680.00","298,303,209,790.00","13,360,905,058,400.00","232,194,561.00","494,341,936,760.00","4,328,806,154,910.00","1,378,477,682,940.00","379,745,762,100.00","358,201,210.00",Real Estate,Real Estate,"37,300.00","1,413,109,696,970.00"
324,SCG.HN,SCG Construction JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"4,871,164,108,820.00",5.20%,"4,590,119,191,950.00","1,606,979,485,140.00","1,107,030,448,870.00","10,773,306,080.00","-1,377,948,441,680.00","1,960,655,554,190.00","-403,826,437,830.00",6.17,"1,084,122,300.00","2,160,078,822,220.00","257,180,048,870.00","227,281,248,390.00",,"6,604,500,000,000.00","16,625,000.00","160,523,639,740.00","2,857,279,789,950.00","1,917,541,753,710.00","735,154,849,420.00","85,000,000.00",Industrials,Industrial & Commercial Services,"77,700.00","112,289,049,660.00"
325,AAT.HM,Tien Son Thanh Hoa JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Consumer Cyclicals,"976,612,415,330.00",3.70%,"343,223,420,000.00","217,701,452,890.00","668,736,814,480.00","481,648,947,850.00","48,150,054,550.00","322,180,671,100.00","-296,750,944,940.00",1.54,,"115,701,731,530.00","30,474,424,480.00","94,316,439,910.00","33,052,045,000.00","1,148,426,802,000.00","34,909,687.00","-275,984,411,270.00","473,174,997,080.00","40,608,448,380.00","12,872,688,710.00","71,138,740.00",Consumer Cyclicals,Cyclical Consumer Products,"18,000.00","23,832,480,060.00"
326,SSB.HM,Southeast Asia Commercial Joint Stock Bank,Vietnam,HOCHIMINH STOCK EXCHANGE,Financials,"211,663,515,000,000.00",1.30%,,"35,786,029,000,000.00","18,663,264,000,000.00","286,268,000,000.00","8,570,005,000,000.00","2,405,623,000,000.00","105,486,000,000.00",4.04,,,"2,212,116,000,000.00",,,"67,419,069,626,399.90","509,607,713.00","2,638,633,000,000.00",,,"2,947,979,000,000.00","1,478,488,370.00",Financials,Banking & Investment Services,"42,411.37","2,807,985,000,000.00"
327,SVD.HM,Vu Dang Investment & Trading JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Consumer Cyclicals,"370,503,776,640.00",2.90%,"141,443,788,590.00","200,842,167,160.00","156,202,177,940.00","220,419,567,700.00","41,223,943,880.00","-34,260,860,190.00","-37,255,740.00",0.9,"21,799,462,030.00","112,194,817,380.00","27,202,177,940.00","7,020,346,430.00",,"136,095,000,000.00","7,031,500.00","32,555,379,300.00","436,477,960,730.00","67,373,376,560.00","7,805,116,840.00","13,336,230.00",Consumer Cyclicals,Cyclical Consumer Products,"10,204.91","20,921,011,710.00"
328,L40.HN,40 Investment and Construction JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"193,488,177,790.00",0.20%,"122,146,537,100.00",0,"64,563,784,270.00","45,449,609,130.00","3,007,858,910.00","-4,292,400,000.00","-2,902,320,240.00",1.65,"5,350,369,920.00","124,702,297,780.00","8,729,935,250.00","47,304,747,490.00","4,292,400,000.00","117,000,000,000.00","3,220,110.00","-2,230,045,140.00","170,388,314,100.00","42,595,726,050.00","28,175,616,830.00","3,577,000.00",Industrials,Industrial & Commercial Services,"32,500.00","9,566,426,980.00"
329,OCB.HM,Orient Commercial Joint Stock Bank,Vietnam,HOCHIMINH STOCK EXCHANGE,Financials,"184,491,035,016,340.00",2.60%,,"35,976,946,873,670.00","21,805,009,400,360.00","285,125,671,230.00","5,556,329,605,620.00","-578,165,590.00","-66,470,609,350.00",1.83,,,"4,136,654,169,440.00",,,"37,397,802,159,900.00","329,835,009.00","4,376,623,609,550.00",,,"2,241,721,655,540.00","1,369,882,860.00",Financials,Banking & Investment Services,"27,300.00","5,604,566,300,340.00"
330,DVG.HN,Dai Viet Paint Group JSC,Vietnam,HANOI STOCK EXCHANGE,Basic Materials,"518,895,819,700.00",3.30%,"338,067,478,400.00","34,622,782,170.00","305,930,341,390.00","83,338,650,880.00","104,828,966,070.00","6,365,512,780.00","-93,927,077,840.00",2.22,"5,102,132,830.00","160,724,588,970.00","25,794,159,800.00","27,041,605,400.00",,"663,600,000,000.00","18,559,411.00","-50,992,160,330.00","344,892,643,350.00","76,838,139,370.00","10,200,038,020.00","28,000,000.00",Basic Materials,Chemicals,"23,700.00","7,301,252,690.00"
331,TNH.HM,Thai Nguyen International Hospital JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Healthcare,"1,285,697,453,280.00",11.60%,"193,449,696,980.00","467,695,186,830.00","779,382,445,130.00","941,106,401,940.00","272,308,892,500.00","-5,677,871,610.00","-156,493,701,940.00",2.42,"32,409,360,460.00","167,768,407,800.00","364,382,445,130.00","133,571,316,550.00",,"2,261,750,000,000.00","15,748,610.00","53,468,387,980.00","412,242,088,070.00","9,374,098,070.00","21,992,189,420.00","41,500,000.00",Healthcare,Healthcare Services & Equipment,"43,600.00","140,488,828,370.00"
332,BKG.HM,BKG Viet Nam Investment JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"460,884,705,350.00",4.90%,"327,248,830,870.00","35,427,527,000.00","392,429,244,130.00","67,968,141,700.00","36,138,016,230.00","-2,191,014,660.00","-15,559,953,540.00",1.08,"5,679,889,270.00","57,771,511,920.00","72,429,244,130.00","39,431,367,140.00",,"416,000,000,000.00","14,435,900.00","11,888,359,730.00","366,732,402,760.00","44,332,868,020.00","9,728,828,980.00","32,000,000.00",Basic Materials,Applied Resources,"13,000.00","23,083,496,370.00"
333,PRE.HN,PVI Reinsurance Joint-Stock Corp,Vietnam,HANOI STOCK EXCHANGE,Financials,"5,028,167,867,790.00",3.10%,,0,"894,842,199,650.00","636,333,050.00","224,078,434,330.00","-179,671,959,380.00","-60,628,337,950.00",1.59,,,"166,842,199,650.00",,"179,671,959,380.00","1,434,160,000,000.00","60,758,357.00","-32,693,971,620.00","850,981,543,380.00",,"632,978,232,300.00","72,800,000.00",Financials,Insurance,"19,700.00","56,375,733,550.00"
334,MSB.HM,Vietnam Maritime Commercial Joint Stock Bank,Vietnam,HOCHIMINH STOCK EXCHANGE,Financials,"203,665,423,000,000.00",2.10%,,"48,016,457,000,000.00","22,037,785,000,000.00","133,753,000,000.00","4,376,922,000,000.00","1,132,389,000,000.00","194,739,000,000.00",2.08,,,"6,270,467,000,000.00",,,"44,414,251,592,356.60","225,342,917.00","4,031,241,000,000.00",,,"1,605,625,000,000.00","1,527,500,000.00",Financials,Banking & Investment Services,"29,000.00","3,690,691,000,000.00"
335,GMA.HN,Viet Nam Enteco Corp,Vietnam,HANOI STOCK EXCHANGE,Industrials,"109,842,582,310.00",4.10%,"24,502,394,340.00","23,188,000,000.00","79,104,287,620.00",0,"41,324,507,320.00","-8,706,046,030.00","-11,877,000,000.00",4.77,,"7,550,294,690.00","19,104,287,620.00","1,621,067,580.00",,"366,000,000,000.00","2,805,150.00","6,344,164,710.00","103,207,415,900.00","6,053,073,710.00","2,129,105,000.00","6,000,000.00",Industrials,Industrial Goods,"61,000.00","4,795,547,420.00"
336,GIC.HN,Green Development and Investment Service JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"250,767,172,910.00",9.20%,"37,939,674,110.00",0,"231,540,769,380.00","92,058,991,680.00","39,157,853,390.00","-35,821,717,040.00","426,981,620.00",1.21,"22,350,198,560.00","19,226,403,530.00","18,414,605,020.00","33,198,674,680.00","20,584,680,000.00","276,336,000,000.00","8,137,224.00","25,967,423,580.00","162,658,231,250.00","3,173,747,640.00","9,333,556,280.00","12,120,000.00",Industrials,Transportation,"22,800.00","46,555,851,500.00"
337,BNA.HN,Bao Ngoc Investment Production Corp,Vietnam,HANOI STOCK EXCHANGE,Consumer Non-Cyclicals,"577,416,212,060.00",14.80%,"409,796,171,100.00","145,713,488,440.00","365,786,510,740.00","145,219,177,670.00","-152,651,360,740.00","258,699,218,470.00","-61,392,858,800.00",3.3,"16,509,769,590.00","194,217,563,500.00","84,274,946,840.00","55,734,815,770.00",,"819,999,549,000.00","6,869,064.00","-31,619,877,620.00","1,001,375,394,020.00","53,355,278,810.00","31,818,814,060.00","38,623,590.00",Consumer Non-Cyclicals,Food & Beverages,"41,000.00","43,375,455,910.00"
338,ASG.HM,ASG Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Industrials,"1,996,448,537,840.00",3.40%,"1,082,104,845,820.00","546,870,203,240.00","1,020,054,008,860.00","382,413,251,660.00","119,204,401,880.00","402,371,737,400.00","-403,099,393,130.00",2.11,"63,641,484,280.00","338,067,322,980.00","315,172,793,920.00","795,281,555,160.00","77,123,245,590.00","2,231,789,784,500.00","20,406,208.00","-2,142,111,170.00","688,099,141,530.00","98,867,197,050.00","61,427,101,190.00","75,653,960.00",Industrials,Transportation,"29,500.00","80,027,009,670.00"
339,TTA.HM,Truong Thanh Development and Construction Investment JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Utilities,"4,753,622,107,820.00",2.80%,"159,699,899,960.00","2,413,344,091,480.00","1,759,967,133,550.00","4,476,934,937,600.00","326,067,029,820.00","-17,179,870,350.00","-288,982,473,050.00",1.38,"206,365,591,730.00","426,140,968,560.00","301,968,093,550.00","23,910,422,400.00",,"2,405,698,415,999.99","101,385,000.00","50,670,610,880.00","661,346,377,050.00","59,874,896,470.00","10,813,830,820.00","145,799,900.00",Utilities,Utilities,"16,500.00","305,933,943,120.00"
340,APH.HM,An Phat Holdings JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"12,310,172,820,780.00",2.10%,"6,632,994,354,880.00","4,938,482,376,800.00","2,872,354,981,280.00","3,841,375,992,250.00","169,950,743,830.00","1,112,088,801,450.00","-230,917,128,040.00",2.56,"484,271,144,890.00","4,126,131,302,920.00","110,107,630,540.00","2,612,540,925,930.00",,"7,248,241,470,300.00","94,054,625.00","-335,800,321,790.00","14,805,140,420,370.00","1,494,470,830,300.00","707,297,788,850.00","243,884,300.00",Basic Materials,Chemicals,"29,720.00","341,465,412,240.00"
341,THD.HN,Thaiholdings JSC,Vietnam,HANOI STOCK EXCHANGE,Basic Materials,"10,572,005,779,150.00",11.00%,"2,458,022,700,610.00","2,296,195,062,520.00","5,333,790,271,820.00","1,260,205,226,410.00","-972,891,004,780.00","2,070,929,093,790.00","-856,319,839,150.00",20.41,"282,321,833,030.00","2,962,672,507,800.00","1,834,038,771,820.00","277,692,031,150.00",,"96,950,000,000,000.00","132,050,576.00","1,385,755,566,850.00","8,242,531,554,290.00","1,868,572,010,610.00","631,046,364,560.00","350,000,000.00",Basic Materials,Mineral Resources,"277,000.00","141,075,261,730.00"
342,PSH.HM,Nam Song Hau Trading Investing Petroleum JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Energy,"9,852,288,693,810.00",3.30%,"5,987,712,516,790.00","3,488,351,934,950.00","1,792,229,897,650.00","2,385,935,904,450.00","-36,493,988,880.00","249,292,257,750.00","-186,340,651,150.00",1.67,"127,424,006,120.00","5,806,302,142,450.00","531,055,290,650.00","190,645,675,860.00","18,922,557,000.00","2,870,976,745,000.00","84,985,051.00","244,408,742,630.00","5,738,370,820,630.00","105,048,284,900.00","1,212,937,566,110.00","126,156,780.00",Energy,Energy - Fossil Fuels,"22,750.00","266,786,600,590.00"
343,CKG.HM,Kien Giang Construction Investment Consultancy Group,Vietnam,HOCHIMINH STOCK EXCHANGE,Real Estate,"4,686,271,239,370.00",3.30%,"3,874,470,420,580.00","1,402,020,841,400.00","915,734,631,410.00","525,441,369,080.00","54,707,651,420.00","52,893,444,310.00","-88,288,543,320.00",3.18,"12,818,258,710.00","1,996,218,323,550.00","11,614,177,690.00","70,995,329,170.00","76,504,093,360.00","3,085,491,809,400.00","13,122,238.00","-132,858,994,060.00","1,103,225,478,730.00","255,805,261,910.00","169,364,098,940.00","82,499,780.00",Real Estate,Real Estate,"37,400.00","169,811,047,200.00"
344,ABS.HM,Binhthuan Agriculture Services JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"1,593,088,291,720.00",4.70%,"1,282,246,647,150.00","471,311,583,000.00","926,674,789,310.00","4,258,336,230.00","-37,979,470,550.00","34,829,941,730.00","7,863,130.00",2.41,,"666,021,002,420.00","84,055,146,130.00","343,343,094,200.00","38,064,696,280.00","2,200,000,000,000.00","57,394,027.00","28,564,470,610.00","1,198,652,069,060.00","874,234,876,570.00","158,124,994,080.00","80,000,000.00",Basic Materials,Chemicals,"27,500.00","66,924,535,100.00"
345,BCF.HN,Bich Chi Food Co,Vietnam,HANOI STOCK EXCHANGE,Consumer Non-Cyclicals,"406,562,636,300.00",13.40%,"323,359,793,990.00","33,200,766,000.00","302,707,886,640.00","81,855,480,190.00","64,598,996,760.00","-52,389,774,540.00","-10,122,969,780.00",3.09,"18,247,884,230.00","103,648,749,660.00","35,721,103,430.00","156,873,257,550.00","43,335,841,650.00","979,126,471,301.69","15,479,101.00","2,923,052,380.00","511,689,011,350.00","60,742,838,520.00","18,120,661,960.00","25,300,420.00",Consumer Non-Cyclicals,Food & Beverages,"38,308.09","109,705,621,220.00"
346,AGG.HM,An Gia Real Estate Investment and Development Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Real Estate,"12,564,827,909,060.00",3.80%,"11,089,800,323,830.00","2,988,873,720,450.00","2,110,317,485,160.00","39,972,917,040.00","872,265,329,830.00","-618,384,702,030.00","-374,854,581,120.00",1.75,"31,584,706,080.00","6,063,134,933,540.00","1,103,497,526,960.00","516,167,228,580.00",,"4,303,030,004,000.00","52,727,163.00","417,353,166,160.00","1,808,364,764,220.00","213,538,190,930.00","687,573,797,890.00","82,750,580.00",Real Estate,Real Estate,"40,071.68","45,393,725,980.00"
347,ADG.HM,Clever Group Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Consumer Cyclicals,"449,600,789,260.00",8.60%,"371,845,279,360.00","83,344,108,150.00","257,717,805,780.00","5,413,216,100.00","74,902,761,830.00","-26,776,615,630.00","-58,085,620,610.00",4.29,"1,160,621,290.00","177,907,103,820.00","58,205,806,100.00","235,647,084,300.00","8,974,781,000.00","1,048,155,464,600.00","14,408,731.00","27,857,841,600.00","584,729,910,320.00","104,077,189,030.00","66,412,231,130.00","19,889,100.00",Consumer Cyclicals,Cyclical Consumer Services,"52,700.00","39,808,982,950.00"
348,SZB.HN,Sonadezi Long Binh Share Holding Co,Vietnam,HANOI STOCK EXCHANGE,Real Estate,"1,197,771,078,860.00",8.80%,"282,368,576,800.00","7,371,000,000.00","585,348,383,060.00","317,465,417,770.00","79,286,626,700.00","-76,434,000,000.00","2,188,431,710.00",1.81,"31,370,336,420.00","112,290,478,720.00","186,596,117,230.00","184,137,856,110.00","75,000,000,000.00","1,017,000,000,000.00","19,524,680.00","6,530,469,540.00","341,117,701,680.00","33,475,565,840.00","24,311,651,290.00","30,000,000.00",Real Estate,Real Estate,"33,900.00","125,636,934,740.00"
349,GAB.HM,FLC Mining Investment & Asset Management JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"290,349,719,190.00",0.70%,"183,537,485,140.00","73,145,293,010.00","163,459,793,430.00","52,169,993,620.00","-51,204,775,520.00","51,895,622,580.00","77,218,280.00",16.67,"3,214,471,870.00","126,889,925,760.00","25,459,793,430.00","1,515,314,810.00",,"2,713,079,999,999.98","9,082,800.00","7,579,553,670.00","421,727,790,320.00","144,973,428,620.00","51,665,453,690.00","14,903,930.00",Basic Materials,Mineral Resources,"182,037.05","1,769,093,880.00"
350,PGN.HN,Plastic Additives JSC,Vietnam,HANOI STOCK EXCHANGE,Basic Materials,"153,978,129,620.00",8.50%,"121,907,482,560.00","43,751,176,820.00","89,572,911,420.00","28,016,504,890.00","-5,010,167,270.00","20,504,539,180.00","-4,979,858,080.00",1.15,"2,860,369,680.00","52,973,469,820.00","11,530,456,180.00","14,049,651,830.00","1,980,000,000.00","108,657,316,800.00","1,681,361.00","5,273,788,700.00","170,359,343,230.00","65,846,009,520.00","16,109,827,630.00","7,545,650.00",Basic Materials,Chemicals,"14,400.00","14,771,930,980.00"
351,NTH.HN,Nuoc Trong Hydro Power JSC,Vietnam,HANOI STOCK EXCHANGE,Energy,"260,054,961,980.00",15.50%,"36,392,414,570.00","75,687,999,990.00","166,590,176,050.00","223,232,907,440.00","64,220,479,910.00","-59,731,510,000.00","-2,956,053,200.00",2.42,,"43,500,785,940.00","49,740,197,700.00","16,435,589,480.00","32,307,510,000.00","392,114,523,900.00","7,300,893.00","27,868,709,110.00","105,001,355,090.00","18,996,535,350.00","1,822,946,330.00","10,802,050.00",Energy,Renewable Energy,"34,571.32","51,419,350,950.00"
352,TN1.HM,TNS Holdings JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Real Estate,"1,623,526,466,780.00",6.30%,"1,372,259,505,870.00","490,800,000,000.00","819,776,512,650.00","12,021,096,960.00","-102,199,586,390.00","80,163,383,940.00","19,746,141,880.00",1.87,"18,929,635,630.00","770,190,914,050.00","225,688,903,720.00","849,402,827,680.00","13,026,770,050.00","1,421,142,954,000.00","20,636,318.00","102,995,074,720.00","718,920,388,900.00","241,401,950,600.00","96,767,206,440.00","34,550,740.00",Real Estate,Real Estate,"42,000.00","143,165,312,870.00"
353,ILB.HM,ICD Tan Cang Long Binh JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Industrials,"1,418,278,728,290.00",5.40%,"317,065,093,700.00","308,103,787,130.00","436,565,469,220.00","718,867,510,760.00","173,054,911,730.00","-100,836,721,460.00","-118,035,524,810.00",1.9,"61,842,881,960.00","292,989,694,650.00","82,076,680,010.00","154,419,643,140.00","37,627,518,280.00","803,673,636,000.00","14,783,632.00","35,360,693,070.00","529,893,731,580.00","97,854,094,730.00","133,208,187,340.00","24,502,250.00",Industrials,Transportation,"32,800.00","116,195,279,690.00"
354,PHN.HN,Hanoi Battery JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"170,097,231,930.00",20.00%,"134,138,647,560.00","21,870,776,420.00","110,504,951,160.00","16,595,939,420.00","7,342,070,250.00","98,741,420.00","-3,086,390,870.00",2.54,,"59,592,280,770.00","19,527,424,970.00","21,129,476,060.00","21,772,035,000.00","292,332,613,300.00","4,630,214.00","11,401,669,350.00","364,294,626,490.00","23,279,790,480.00","3,082,171,050.00","7,253,910.00",Industrials,Industrial Goods,"40,300.00","59,314,506,590.00"
355,HUB.HM,Thua Thien Hue Construction Joint Stock Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Industrials,"791,873,197,930.00",8.10%,"430,370,617,030.00","15,566,120,240.00","442,774,042,600.00","138,841,242,470.00","96,261,239,270.00","-50,009,118,380.00","37,544,050.00",1.51,"19,140,986,320.00","230,684,291,170.00","209,890,232,680.00","183,555,574,880.00","26,433,847,880.00","653,665,938,800.00","9,378,508.00","14,004,508,710.00","445,438,697,600.00","52,302,971,360.00","76,485,293,520.00","19,057,320.00",Industrials,Industrial & Commercial Services,"34,300.00","39,615,836,810.00"
356,TAR.HN,Trung An Hi-Tech Farming JSC,Vietnam,HANOI STOCK EXCHANGE,Consumer Non-Cyclicals,"2,000,830,027,320.00",5.70%,"1,411,198,529,280.00","1,209,205,058,270.00","647,960,752,560.00","480,409,786,200.00","-400,558,463,100.00","473,238,748,290.00","-5,155,895,920.00",3.21,"33,869,964,500.00","1,295,496,551,170.00","185,961,422,560.00","89,140,267,190.00",,"1,963,497,152,500.00","8,036,753.00","119,762,847,020.00","3,120,240,775,650.00","168,552,365,660.00","81,966,210,650.00","46,199,930.00",Consumer Non-Cyclicals,Food & Beverages,"42,500.00","158,225,231,360.00"
357,SHE.HN,Son Ha Development of Renewable Energy JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"186,640,489,500.00",8.10%,"158,011,637,540.00","55,437,714,570.00","101,859,204,320.00","26,870,504,040.00","583,073,490.00","-1,923,999,000.00","-5,375,934,920.00",1.28,"2,898,163,100.00","70,940,034,220.00","18,629,627,980.00","3,693,747,540.00","6,574,998,000.00","120,618,014,800.00","5,721,478.00","8,675,388,790.00","226,538,004,130.00","85,269,074,950.00","19,674,744,440.00","7,987,850.00",Industrials,Industrial Goods,"15,100.00","24,953,198,660.00"
